Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HomePlanet,Destination,VIP,CryoSleep,Transported,cabin_group,cabin_number,cabin_side,passenger_group_size,RoomService_customer,FoodCourt_customer,ShoppingMall_customer,Spa_customer,VRDeck_customer
39.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,False,False,False,B,0,P,1,False,False,False,False,False
24.0,109.0,9.0,25.0,549.0,44.0,Earth,TRAPPIST-1e,False,False,True,F,0,S,1,True,True,True,True,True
58.0,43.0,3576.0,0.0,6715.0,49.0,Europa,TRAPPIST-1e,True,False,False,A,0,S,2,True,True,False,True,True
33.0,0.0,1283.0,371.0,3329.0,193.0,Europa,TRAPPIST-1e,False,False,False,A,0,S,2,False,True,True,True,True
16.0,303.0,70.0,151.0,565.0,2.0,Earth,TRAPPIST-1e,False,False,True,F,1,S,1,True,True,True,True,True
44.0,0.0,483.0,0.0,291.0,0.0,Earth,PSO J318.5-22,False,False,True,F,0,P,1,False,True,False,True,False
26.0,42.0,1539.0,3.0,0.0,0.0,Earth,TRAPPIST-1e,False,False,True,F,2,S,2,True,True,True,False,False
28.0,0.0,0.0,0.0,0.0,0.0,Earth,TRAPPIST-1e,False,True,True,G,0,S,2,False,False,False,False,False
35.0,0.0,785.0,17.0,216.0,0.0,Earth,TRAPPIST-1e,False,False,True,F,3,S,1,False,True,True,True,False
14.0,0.0,0.0,0.0,0.0,0.0,Europa,55 Cancri e,False,True,True,B,1,P,3,False,False,False,False,False
34.0,0.0,0.0,0.0,0.0,0.0,Europa,TRAPPIST-1e,False,True,True,B,1,P,3,False,False,False,False,False
45.0,39.0,7295.0,589.0,110.0,124.0,Europa,55 Cancri e,False,False,True,B,1,P,3,True,True,True,True,True
32.0,73.0,0.0,1123.0,0.0,113.0,Mars,TRAPPIST-1e,False,False,True,F,1,P,1,True,False,True,False,True
48.0,719.0,1.0,65.0,0.0,24.0,Earth,TRAPPIST-1e,False,False,False,G,1,S,1,True,True,True,False,True
28.0,8.0,974.0,12.0,2.0,7.0,Earth,TRAPPIST-1e,False,False,True,F,2,P,1,True,True,True,True,True
31.0,32.0,0.0,876.0,0.0,0.0,Earth,TRAPPIST-1e,False,False,False,G,734,S,1,True,False,True,False,False
27.0,1286.0,122.0,0.0,0.0,0.0,Mars,55 Cancri e,False,False,False,F,3,P,1,True,True,False,False,False
24.0,0.0,1.0,0.0,0.0,637.0,Earth,55 Cancri e,False,False,False,F,4,P,1,False,True,False,False,True
45.0,0.0,0.0,0.0,0.0,0.0,Mars,TRAPPIST-1e,False,True,True,F,5,P,1,False,False,False,False,False
